playerID,yearID,teamID,G,AB,R,H,Doubles,Triples,HR,RBI,SB,SO,Walks HBP,AVG,OBP,SLG,OPS
werthja01,2010,PHI,156,554,106,164,46,2,27,85,13,147,95,0.296,0.468,0.532,1.000
beltrca01,2013,SLN,145,554,79,164,30,3,24,84,2,90,40,0.296,0.368,0.491,0.859
hollima01,2011,SLN,124,446,83,132,36,0,22,75,2,93,72,0.296,0.457,0.525,0.982
reyesjo01,2013,TOR,93,382,58,113,20,0,10,37,15,47,37,0.296,0.393,0.427,0.819
walkene01,2010,PIT,110,426,57,126,29,3,12,66,2,83,38,0.296,0.385,0.462,0.847
markani01,2015,ATL,156,612,73,181,38,1,3,53,2,83,84,0.296,0.433,0.376,0.809
puigya01,2014,LAN,148,558,92,165,37,9,16,69,11,124,82,0.296,0.443,0.480,0.923
beltrad01,2011,TEX,124,487,82,144,33,0,32,105,1,53,30,0.296,0.357,0.561,0.918
bonifem01,2011,FLO,152,565,78,167,26,7,5,36,40,129,61,0.296,0.404,0.393,0.796
hollima01,2012,SLN,157,599,95,177,36,2,27,102,4,132,87,0.295,0.441,0.497,0.938
kendrho01,2015,LAN,117,464,64,137,22,2,9,54,6,82,30,0.295,0.360,0.409,0.769
avilaal01,2011,DET,141,464,63,137,33,4,19,82,3,131,85,0.295,0.478,0.506,0.985
gonzaca01,2011,COL,127,481,92,142,27,3,26,92,20,105,63,0.295,0.426,0.526,0.952
duffyma01,2015,SFN,149,573,77,169,28,6,12,77,12,96,35,0.295,0.356,0.428,0.784
cervefr01,2015,PIT,130,451,56,133,17,5,7,43,1,94,55,0.295,0.417,0.401,0.818
solando01,2012,MIA,93,285,29,84,11,3,2,28,7,58,24,0.295,0.379,0.375,0.754
longoev01,2010,TBA,151,574,96,169,46,5,22,104,15,124,89,0.294,0.449,0.507,0.956
gordoal01,2012,KCA,161,642,93,189,51,5,14,72,10,140,79,0.294,0.417,0.455,0.872
burnsbi02,2015,OAK,125,520,70,153,18,9,5,42,26,81,33,0.294,0.358,0.392,0.750
poseybu01,2013,SFN,148,520,61,153,34,1,15,72,2,70,76,0.294,0.440,0.450,0.890
segurje01,2013,MIL,146,588,74,173,20,10,12,49,44,84,32,0.294,0.349,0.423,0.772
phillbr01,2015,CIN,148,588,69,173,19,2,12,70,23,68,32,0.294,0.349,0.395,0.743
bourgja01,2011,HOU,93,238,30,70,8,2,1,16,31,24,10,0.294,0.336,0.357,0.693
carpema01,2012,SLN,114,296,44,87,22,5,6,46,1,63,39,0.294,0.426,0.463,0.889
sweenry01,2010,OAK,82,303,41,89,20,2,1,36,1,41,26,0.294,0.380,0.383,0.762
ethiean01,2015,LAN,142,395,54,116,20,7,14,53,2,75,49,0.294,0.418,0.486,0.904
